 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,,number_of_empty_rings
340,116.214,12,0.147,37.106,,0
341,120.476,10,0.178,41.345,,0
342,150.161,3,0.116,46.921,,0
343,79.948,16,0.104,52.684,,0
344,88.472,4,0.096,32.902,,0
345,93.532,12,0.153,40.754,,0
346,117.96,23,0.129,40.271,,0
347,102.939,17,0.103,48.683,,0
348,135.515,5,0.094,47.867,,0
349,136.586,12,0.119,58.461,,0
350,93.392,2,0.146,28.656,,0
351,80.999,11,0.171,41.275,,0
352,96.058,21,0.125,42.007,,0
353,121.18,9,0.132,41.85,,0
354,99.109,13,0.093,58.905,,0
355,121.246,14,0.118,80.926,,0
356,95.954,18,0.113,46.369,,0
357,95.138,3,0.097,39.935,,0
358,95.222,19,0.149,37.777,,0
359,109.483,6,0.103,49.153,,0
360,113.904,13,0.143,44.522,,0
361,114.374,14,0.117,40.483,,0
362,110.891,9,0.141,40.326,,0
363,104.779,13,0.187,50.928,,0
364,84.999,8,0.107,64.534,,0
365,116.317,5,0.105,39.75,,0
366,103.887,6,0.171,27.312,,0
367,84.886,13,0.191,37.982,,0
368,148.715,15,0.121,46.343,,0
369,96.405,11,0.125,43.217,,0
370,92.537,9,0.113,85.874,,0
371,114.167,11,0.138,59.452,,0
372,115.059,8,0.108,54.554,,0
373,96.18,5,0.098,54.481,,0
374,132.614,10,0.129,54.114,,0
375,114.43,9,0.106,70.651,,0
376,98.076,12,0.133,61.273,,0
377,120.035,11,0.131,64.031,,0
378,116.42,13,0.124,63.346,,0
379,134.107,12,0.148,50.095,,0
380,94.828,7,0.165,24.472,,0
381,138.735,15,0.113,48.459,,0
382,89.355,4,0.176,37.744,,0
383,89.937,9,0.165,45.112,,0
384,87.158,23,0.119,53.659,,0
385,125.32,14,0.117,42.372,,0
386,85.121,15,0.099,49.298,,0
387,87.308,12,0.113,59.071,,0
388,90.988,8,0.263,36.249,,0
389,93.739,12,0.089,61.845,,0
390,96.659,3,0.131,31.556,,0
391,84.952,7,0.142,36,,0
392,93.861,19,0.123,45.008,,0
393,92.002,15,0.125,56.95,,0
394,80.83,9,0.1,48.66,,0
395,84.576,13,0.121,57.202,,0
396,95.654,9,0.196,42.995,,0
397,88.238,9,0.103,61.604,,0
398,98.968,2,0.113,32.92,,0
399,89.214,7,0.113,56.561,,0
400,122.907,20,0.104,43.828,,0
401,122.579,6,0.12,43.463,,0
402,122.447,16,0.132,44.96,,0
403,122.438,19,0.132,44.096,,0
404,101.794,13,0.185,35.789,,0
405,137.046,18,0.129,52.733,,0
406,87.496,21,0.19,45.105,,0
407,120.11,16,0.096,56.506,,0
408,121.246,12,0.161,41.264,,0
409,106.826,23,0.098,60.203,,0
410,111.473,9,0.122,35.359,,0
411,136.595,11,0.084,58.612,,0
412,101.437,6,0.1,60.323,,0
413,111.219,17,0.2,38.425,,0
414,101.69,32,0.135,54.002,,0
415,116.702,11,0.159,69.878,,0
416,123.94,21,0.098,46.881,,0
417,95.729,8,0.097,48.785,,0
418,92.011,23,0.184,57.572,,0
419,123.996,9,0.096,62.021,,0
420,88.726,9,0.105,48.653,,0
421,110.928,23,0.098,75.39,,0
422,116.317,11,0.113,45.86,,0
423,115.782,18,0.131,38.77,,0
424,123.677,21,0.109,65.815,,0
425,109.783,20,0.102,57.004,,0
426,101.803,16,0.144,49.815,,0
427,115.2,20,0.117,51.721,,0
428,102.742,9,0.103,48.22,,0
429,111.51,8,0.096,63.978,,0
430,129.798,9,0.125,40.451,,0
431,111.201,12,0.096,61.765,,0
432,108.75,9,0.128,59.911,,0
433,97.231,5,0.173,40.485,,0
434,105.868,22,0.16,50.388,,0
435,111.923,18,0.1,56.645,,0
436,106.516,26,0.109,72.215,,0
437,121.677,21,0.168,48.865,,0
438,109.698,15,0.125,56.192,,0
439,93.701,11,0.177,31.473,,0
440,113.181,15,0.163,45.049,,0
441,88.266,24,0.15,58.518,,0
442,104.516,15,0.115,58.947,,0
443,120.363,14,0.114,34.994,,0
444,136.219,20,0.128,57.575,,0
445,110.609,9,0.137,44.847,,0
446,85.731,4,0.094,56.581,,0
447,99.052,7,0.131,43.337,,0
448,106.103,16,0.109,56.863,,0
449,143.392,15,0.15,47.403,,0
450,103.343,9,0.096,40.696,,0
451,123.302,20,0.117,53.576,,0
452,104.169,10,0.12,35.163,,0
453,82.511,4,0.263,32.982,,0
454,107.577,9,0.097,73.376,,0
455,116.542,17,0.104,49.382,,0
456,117.95,15,0.097,53.386,,0
457,116.054,24,0.116,65.276,,0
458,112.43,14,0.158,36.401,,0
459,123.79,24,0.114,55.925,,0
460,132.568,17,0.215,38.333,,0
461,122.372,7,0.28,34.972,,0
462,113.313,5,0.098,78.364,,0
463,85.74,13,0.108,62.053,,0
464,93.157,8,0.126,41.646,,0
465,96.724,7,0.119,55.206,,0
466,86.998,19,0.183,42.04,,0
