 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
278,97.081,21,0.139,26.263,349.923
279,100.226,22,0.125,24.477,366.907
280,101.709,8,0.096,20.105,3.488
281,82.239,15,0.128,19.934,395.476
282,96.311,16,0.168,15.045,443.919
283,99.165,29,0.110,30.659,337.257
284,120.682,17,0.133,19.174,420.701
285,101.822,28,0.144,26.469,377.648
286,83.271,17,0.189,21.997,387.403
287,104.497,12,0.102,21.696,446.622
288,112.055,16,0.272,15.570,248.345
289,92.528,25,0.132,22.264,186.927
290,105.211,15,0.113,20.439,4.488
291,113.876,15,0.129,23.983,463.983
292,123.480,11,0.100,24.508,21.683
293,106.553,20,0.104,24.959,217.787
294,96.414,26,0.133,21.717,266.073
295,127.113,22,0.198,21.859,387.881
296,101.212,23,0.122,27.515,327.913
297,98.705,9,0.149,15.238,516.803
298,107.924,13,0.114,25.319,438.186
299,93.908,23,0.124,23.550,356.680
300,92.856,19,0.126,32.908,337.706
301,131.234,22,0.160,18.675,417.681
302,108.976,19,0.169,22.826,160.655
303,115.491,13,0.240,16.801,490.329
304,102.019,20,0.176,16.603,296.740
305,120.335,17,0.104,19.247,106.565
306,117.059,18,0.101,23.691,447.813
307,110.694,7,0.121,27.010,89.910
308,106.760,11,0.109,29.910,392.271
309,136.661,18,0.118,22.987,198.367
310,103.493,12,0.138,15.640,117.945
311,82.961,11,0.161,18.944,134.726
312,101.193,9,0.130,19.542,379.652
313,128.014,31,0.165,19.823,426.456
314,135.459,23,0.113,21.436,169.572
315,94.800,9,0.094,19.891,138.941
316,114.148,16,0.126,22.716,243.330
317,105.624,30,0.112,35.445,316.130
318,97.682,19,0.119,23.858,254.314
319,111.332,24,0.148,24.062,363.973
320,119.434,25,0.145,19.566,219.027
321,111.707,13,0.183,18.559,463.841
322,94.452,3,0.116,13.738,2.243
323,97.719,23,0.133,32.350,289.601
324,110.440,27,0.104,24.473,257.649
325,118.326,14,0.177,16.074,125.725
326,96.602,8,0.106,18.381,448.552
327,145.147,25,0.109,20.369,417.847
328,87.214,14,0.121,29.672,287.714
329,115.322,29,0.153,22.061,396.029
330,132.812,17,0.104,20.371,493.751
331,86.078,20,0.109,22.622,432.947
332,97.100,20,0.138,21.033,359.722
333,100.095,21,0.098,38.546,289.551
334,101.277,19,0.171,23.177,337.294
335,93.917,14,0.128,26.985,323.344
336,104.807,17,0.129,21.025,460.499
337,142.500,15,0.161,15.207,500.227
338,113.914,17,0.115,29.219,412.971
339,100.930,12,0.301,12.321,165.883
340,98.592,21,0.116,24.132,363.339
341,106.422,23,0.111,22.776,387.545
342,85.862,13,0.112,15.794,30.124
343,120.955,18,0.119,17.979,137.283
344,121.612,36,0.113,27.966,315.368
345,130.850,9,0.096,28.460,75.690
346,101.202,15,0.126,21.677,346.007
347,122.673,29,0.120,32.953,264.728
