 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
241,117.077,27,0.116,29.326,319.444,0
242,138.210,18,0.113,17.839,264.072,0
243,84.276,25,0.154,26.466,104.724,0
244,116.918,30,0.127,30.525,341.943,0
245,102.329,29,0.132,29.096,398.214,0
246,120.833,9,0.169,18.147,223.771,0
247,97.147,10,0.140,24.304,97.818,0
248,89.946,22,0.113,28.026,157.992,0
249,87.562,34,0.107,36.867,459.976,0
250,125.780,24,0.117,28.852,439.561,0
251,96.527,16,0.166,31.935,350.079,0
252,102.235,17,0.146,22.558,372.855,0
253,95.720,21,0.122,28.375,149.483,0
254,108.375,28,0.119,33.389,278.492,0
255,94.668,25,0.134,24.045,407.450,0
256,108.591,25,0.124,33.379,383.587,0
257,93.945,12,0.145,24.834,443.686,0
258,99.259,26,0.108,28.236,452.768,0
259,117.453,20,0.141,16.924,206.092,0
260,98.808,33,0.127,28.301,145.411,0
261,128.108,24,0.136,17.143,337.147,0
262,139.562,1,0.563,12.783,126.350,0
263,93.147,47,0.125,29.691,460.523,0
264,153.399,26,0.137,26.356,289.805,0
265,126.212,27,0.129,35.165,261.875,0
266,100.639,21,0.145,20.706,391.905,0
267,116.505,15,0.153,24.927,222.007,0
268,131.112,32,0.152,29.432,153.666,0
269,102.958,15,0.120,23.553,248.274,0
270,129.507,27,0.108,34.090,112.189,0
271,110.149,8,0.114,27.901,323.535,0
272,93.974,25,0.171,30.374,50.662,0
273,96.414,19,0.124,29.906,407.504,0
274,92.237,23,0.115,30.745,434.108,0
275,94.443,36,0.103,31.686,351.226,0
276,121.443,25,0.140,29.432,247.793,0
277,101.737,27,0.131,34.394,286.771,0
278,118.795,25,0.151,35.672,382.455,0
279,103.315,2,0.235,14.780,368.468,0
280,95.532,23,0.122,34.640,446.445,0
281,85.703,13,0.140,18.714,299.971,0
282,112.393,26,0.139,27.595,126.344,0
283,128.024,27,0.188,17.435,272.181,0
284,119.115,6,0.286,12.799,200.835,0
285,132.755,26,0.132,24.696,95.009,0
286,111.032,23,0.140,22.003,186.252,0
287,132.314,28,0.117,32.936,145.425,0
288,106.140,6,0.102,22.056,395.544,0
289,85.590,19,0.183,23.528,1.564,0
290,98.987,39,0.126,25.861,343.423,0
291,164.139,10,0.186,15.365,308.844,0
292,101.597,31,0.168,31.333,122.999,0
293,122.748,25,0.183,19.086,360.427,0
294,125.348,29,0.131,24.321,185.004,0
295,125.489,32,0.146,24.882,230.202,0
296,139.411,14,0.105,31.418,389.739,0
297,91.702,11,0.107,22.726,287.932,0
298,92.246,18,0.144,19.467,91.387,0
299,121.593,18,0.124,24.901,158.028,0
300,92.913,28,0.128,23.323,231.690,0
301,129.338,22,0.115,27.583,134.031,0
302,114.993,2,0.122,20.923,169.672,0
303,79.554,7,0.126,21.896,404.628,0
304,90.294,7,0.102,21.303,316.061,0
305,93.044,25,0.150,23.621,2.669,0
